x,y,counts
-0.1,-0.1,20.0
-0.07777777777777778,-0.1,20.0
-0.05555555555555556,-0.1,10.0
-0.03333333333333334,-0.1,12.0
-0.011111111111111113,-0.1,16.0
0.011111111111111113,-0.1,18.0
0.033333333333333326,-0.1,16.0
0.05555555555555555,-0.1,23.0
0.07777777777777778,-0.1,14.0
0.1,-0.1,13.0
-0.1,-0.07777777777777778,14.0
-0.07777777777777778,-0.07777777777777778,13.0
-0.05555555555555556,-0.07777777777777778,11.0
-0.03333333333333334,-0.07777777777777778,26.0
-0.011111111111111113,-0.07777777777777778,14.0
0.011111111111111113,-0.07777777777777778,17.0
0.033333333333333326,-0.07777777777777778,19.0
0.05555555555555555,-0.07777777777777778,19.0
0.07777777777777778,-0.07777777777777778,15.0
0.1,-0.07777777777777778,17.0
-0.1,-0.05555555555555556,9.0
-0.07777777777777778,-0.05555555555555556,22.0
-0.05555555555555556,-0.05555555555555556,8.0
-0.03333333333333334,-0.05555555555555556,18.0
-0.011111111111111113,-0.05555555555555556,19.0
0.011111111111111113,-0.05555555555555556,15.0
0.033333333333333326,-0.05555555555555556,8.0
0.05555555555555555,-0.05555555555555556,27.0
0.07777777777777778,-0.05555555555555556,21.0
0.1,-0.05555555555555556,16.0
-0.1,-0.03333333333333334,14.0
-0.07777777777777778,-0.03333333333333334,12.0
-0.05555555555555556,-0.03333333333333334,14.0
-0.03333333333333334,-0.03333333333333334,19.0
-0.011111111111111113,-0.03333333333333334,21.0
0.011111111111111113,-0.03333333333333334,19.0
0.033333333333333326,-0.03333333333333334,18.0
0.05555555555555555,-0.03333333333333334,19.0
0.07777777777777778,-0.03333333333333334,21.0
0.1,-0.03333333333333334,18.0
-0.1,-0.011111111111111113,22.0
-0.07777777777777778,-0.011111111111111113,19.0
-0.05555555555555556,-0.011111111111111113,14.0
-0.03333333333333334,-0.011111111111111113,19.0
-0.011111111111111113,-0.011111111111111113,21.0
0.011111111111111113,-0.011111111111111113,23.0
0.033333333333333326,-0.011111111111111113,25.0
0.05555555555555555,-0.011111111111111113,23.0
0.07777777777777778,-0.011111111111111113,22.0
0.1,-0.011111111111111113,19.0
-0.1,0.011111111111111113,17.0
-0.07777777777777778,0.011111111111111113,14.0
-0.05555555555555556,0.011111111111111113,15.0
-0.03333333333333334,0.011111111111111113,21.0
-0.011111111111111113,0.011111111111111113,21.0
0.011111111111111113,0.011111111111111113,18.0
0.033333333333333326,0.011111111111111113,15.0
0.05555555555555555,0.011111111111111113,21.0
0.07777777777777778,0.011111111111111113,15.0
0.1,0.011111111111111113,20.0
-0.1,0.033333333333333326,19.0
-0.07777777777777778,0.033333333333333326,19.0
-0.05555555555555556,0.033333333333333326,12.0
-0.03333333333333334,0.033333333333333326,18.0
-0.011111111111111113,0.033333333333333326,15.0
0.011111111111111113,0.033333333333333326,17.0
0.033333333333333326,0.033333333333333326,18.0
0.05555555555555555,0.033333333333333326,24.0
0.07777777777777778,0.033333333333333326,20.0
0.1,0.033333333333333326,17.0
-0.1,0.05555555555555555,15.0
-0.07777777777777778,0.05555555555555555,27.0
-0.05555555555555556,0.05555555555555555,17.0
-0.03333333333333334,0.05555555555555555,13.0
-0.011111111111111113,0.05555555555555555,22.0
0.011111111111111113,0.05555555555555555,9.0
0.033333333333333326,0.05555555555555555,15.0
0.05555555555555555,0.05555555555555555,28.0
0.07777777777777778,0.05555555555555555,23.0
0.1,0.05555555555555555,19.0
-0.1,0.07777777777777778,20.0
-0.07777777777777778,0.07777777777777778,19.0
-0.05555555555555556,0.07777777777777778,16.0
-0.03333333333333334,0.07777777777777778,19.0
-0.011111111111111113,0.07777777777777778,17.0
0.011111111111111113,0.07777777777777778,22.0
0.033333333333333326,0.07777777777777778,20.0
0.05555555555555555,0.07777777777777778,15.0
0.07777777777777778,0.07777777777777778,14.0
0.1,0.07777777777777778,18.0
-0.1,0.1,24.0
-0.07777777777777778,0.1,15.0
-0.05555555555555556,0.1,20.0
-0.03333333333333334,0.1,19.0
-0.011111111111111113,0.1,18.0
0.011111111111111113,0.1,23.0
0.033333333333333326,0.1,12.0
0.05555555555555555,0.1,19.0
0.07777777777777778,0.1,18.0
0.1,0.1,13.0
